year,region,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1900,Caribbean,Epidemic,1,30,0,0,0,0,0
1900,Caribbean,Flood,1,300,0,0,0,0,0
1900,"Northern America",Storm,1,6000,0,0,0,0,30000
1902,Caribbean,"Volcanic activity",2,31565,0,0,0,0,0
1902,"Central America",Earthquake,2,2185,0,0,0,0,0
1902,"Central America","Volcanic activity",2,7000,0,0,0,0,0
1903,Caribbean,Storm,1,65,0,0,0,0,0
1903,"Northern America",Flood,2,250,0,0,0,0,480000
1903,"Northern America","Mass movement (dry)",1,76,0,23,0,23,0
1903,"Northern America",Storm,1,98,0,0,0,0,0
1904,"South America",Earthquake,1,0,0,0,0,0,0
1905,"Northern America","Mass movement (dry)",1,18,0,18,0,18,0
1906,"Central America",Earthquake,2,1000,0,0,0,0,0
1906,"Northern America",Earthquake,1,2000,0,0,0,0,524000
1906,"Northern America",Storm,2,298,0,0,0,0,0
1906,"South America",Earthquake,3,20400,0,0,0,0,100000
1907,Caribbean,Earthquake,1,1200,90000,0,0,90000,30000
1908,"Northern America","Mass movement (dry)",1,33,0,0,0,0,0
1909,Caribbean,Landslide,1,53,0,0,0,0,0
1909,Caribbean,Storm,1,150,0,0,0,0,0
1909,"Northern America",Flood,1,72,0,0,0,0,0
1909,"Northern America",Storm,2,391,0,0,0,0,0
1910,"Central America",Earthquake,1,1750,0,0,0,0,0
1910,"Northern America","Mass movement (dry)",1,62,0,0,0,0,0
1910,"Northern America",Storm,1,30,0,0,0,0,0
1911,"Northern America",Wildfire,1,73,0,0,200,200,0
1912,Caribbean,Storm,1,142,0,0,94820,94820,0
1912,"Northern America",Storm,1,28,0,200,2500,2700,5000
1913,"Northern America",Storm,1,732,0,0,0,0,200000
1913,"South America",Earthquake,1,150,0,0,0,0,0
1915,Caribbean,Storm,1,1600,0,0,0,0,0
1915,"Central America",Earthquake,1,0,0,0,0,0,0
1915,"Northern America",Earthquake,1,6,0,0,0,0,1000
1915,"Northern America","Mass movement (dry)",1,56,0,22,0,22,0
1915,"Northern America",Storm,1,525,0,0,0,0,60000
1917,Caribbean,Storm,1,57,0,0,0,0,0
1917,"Central America",Earthquake,1,2650,0,0,0,0,0
1918,Caribbean,Earthquake,1,116,0,0,0,0,0
1918,"Northern America",Earthquake,1,116,0,0,0,0,29000
1918,"Northern America",Epidemic,1,50000,2000000,0,0,2000000,0
1918,"Northern America",Storm,1,34,0,0,0,0,0
1918,"Northern America",Wildfire,1,1000,0,0,0,0,100000
1919,Caribbean,Drought,1,0,0,0,0,0,0
1919,Caribbean,Epidemic,1,0,0,0,0,0,0
1919,"Northern America",Storm,1,500,0,0,0,0,25000
1920,Caribbean,Epidemic,1,0,0,0,0,0,0
1920,"Northern America",Storm,1,224,0,0,0,0,0
1921,Caribbean,Epidemic,1,0,0,0,0,0,0
1922,Caribbean,Epidemic,1,0,0,0,0,0,0
1922,"Northern America",Wildfire,1,43,0,0,11000,11000,8000
1922,"South America",Earthquake,2,1100,0,0,0,0,0
1923,Caribbean,Epidemic,1,0,0,0,0,0,0
1923,Caribbean,Storm,1,4,0,0,1300,1300,0
1924,"South America",Earthquake,1,40,0,0,0,0,0
1925,"Northern America",Earthquake,1,13,0,0,0,0,8000
1925,"Northern America",Storm,1,739,0,0,0,0,18000
1926,Caribbean,Storm,2,600,0,0,0,0,0
1926,"Northern America",Storm,2,268,0,0,0,0,73000
1926,"South America",Landslide,1,100,0,0,0,0,0
1927,"Northern America",Flood,1,246,0,0,0,0,230
1927,"Northern America",Storm,1,87,0,0,0,0,22000
1928,Caribbean,Storm,4,2300,0,0,0,0,50000
1928,"Northern America",Earthquake,1,27,0,0,0,0,0
1928,"Northern America",Storm,1,1836,0,0,0,0,25000
1928,"South America",Earthquake,1,220,0,0,0,0,0
1929,Caribbean,Storm,1,0,0,0,0,0,0
1929,"Central America","Volcanic activity",1,5000,0,0,0,0,0
1929,"Central America",Wildfire,1,60,0,0,0,0,0
1930,Caribbean,Storm,2,4000,6000,6000,0,12000,40000
1931,"Central America",Earthquake,1,1000,0,0,0,0,15000
1931,"Central America",Storm,2,3000,0,0,0,0,7500
1931,"Northern America",Drought,1,0,25000,0,0,25000,0
1931,"South America",Landslide,1,190,0,0,0,0,0
1932,Caribbean,Epidemic,1,16,0,0,0,0,0
1932,Caribbean,Storm,2,2725,0,0,0,0,30000
1932,"Northern America",Storm,2,372,0,0,0,0,0
1933,Caribbean,Flood,1,53,0,0,0,0,0
1933,Caribbean,Storm,2,23,0,0,0,0,3000
1933,"Northern America",Drought,1,0,0,0,0,0,0
1933,"Northern America",Earthquake,1,116,0,0,0,0,38500
1933,"Northern America",Storm,1,40,0,0,0,0,0
1934,"Central America",Storm,1,2000,0,0,0,0,0
1935,Caribbean,Storm,4,2199,0,500,0,500,2000
1935,"Northern America",Storm,1,408,0,0,0,0,6000
1936,"Northern America","Extreme temperature ",2,1693,0,0,0,0,0
1936,"Northern America",Flood,1,200,0,0,0,0,0
1936,"Northern America",Storm,1,455,0,0,0,0,21000
1937,Caribbean,Flood,1,111,0,0,0,0,0
1937,Caribbean,"Mass movement (dry)",1,40,0,0,0,0,0
1937,"Northern America",Flood,1,137,0,0,0,0,438000
1938,"Northern America",Landslide,1,200,0,0,0,0,0
1938,"Northern America",Storm,1,600,0,0,0,0,306000
1939,"South America",Earthquake,1,30000,0,58500,0,58500,920000
1940,Caribbean,Flood,1,125,0,0,2000,2000,0
1940,"Northern America",Earthquake,1,9,0,0,0,0,33000
1940,"Northern America",Storm,1,50,0,0,0,0,0
1940,"South America",Earthquake,1,249,0,0,0,0,0
1941,"Central America",Earthquake,1,174,0,0,0,0,0
1941,"South America",Landslide,1,5000,0,0,0,0,0
1942,"South America",Earthquake,2,205,0,16,0,16,28000
1943,"Central America","Volcanic activity",1,0,3000,0,0,3000,0
1943,"Northern America",Flood,1,0,0,0,0,0,900000
1943,"South America",Earthquake,2,212,0,35,0,35,100000
1944,Caribbean,Storm,2,32,0,0,2000,2000,0
1944,"Northern America",Storm,1,390,0,0,0,0,100000
1944,"Northern America",Wildfire,1,121,0,0,0,0,0
1944,"South America",Earthquake,1,10000,120000,35000,0,155000,0
1945,Caribbean,Storm,1,22,0,0,0,0,0
1945,"Northern America",Storm,3,196,0,0,0,0,0
1946,Caribbean,Earthquake,1,73,0,0,0,0,0
1946,"Northern America",Earthquake,1,165,0,0,0,0,25000
1946,"Northern America",Storm,2,50,0,0,0,0,500
1946,"South America",Earthquake,2,1400,0,0,0,0,0
1947,"Northern America",Storm,4,308,0,0,0,0,100000
1947,"Northern America",Wildfire,1,0,0,0,0,0,30000
1947,"South America",Earthquake,1,233,0,0,0,0,0
1948,Caribbean,Storm,2,14,0,300,0,300,18000
1948,"Northern America",Flood,1,55,0,0,0,0,0
1948,"Northern America",Storm,2,42,0,0,0,0,0
1948,"South America",Flood,1,200,0,0,0,0,0
1948,"South America","Volcanic activity",1,100,0,0,0,0,0
1949,"Central America",Flood,1,40000,0,0,0,0,15000
1949,"Central America","Volcanic activity",1,1000,0,0,0,0,0
1949,"Northern America",Earthquake,1,8,0,0,0,0,80000
1949,"Northern America",Storm,2,87,0,0,0,0,0
1949,"South America",Earthquake,4,6041,105000,173,0,105173,64200
1949,"South America",Storm,1,100,0,0,0,0,0
1949,"South America","Volcanic activity",1,1000,0,0,0,0,0
1950,Caribbean,Storm,1,2,0,0,0,0,1000
1950,"Northern America",Flood,2,34,107000,0,0,107000,100000
1950,"Northern America",Storm,4,272,0,0,0,0,100000
1950,"South America",Earthquake,3,333,0,200,40000,40200,0
1950,"South America",Flood,1,50,0,0,0,0,0
1950,"South America",Landslide,1,130,0,0,0,0,0
1951,Caribbean,Storm,1,154,20000,200,0,20200,56000
1951,"Central America",Earthquake,2,1500,0,0,0,0,23000
1951,"Central America",Storm,1,50,0,0,0,0,0
1951,"Northern America","Extreme temperature ",2,69,0,0,0,0,100000
1951,"Northern America",Flood,1,41,0,0,0,0,1029000
1952,Caribbean,Earthquake,1,6,0,0,0,0,20000
1952,"Central America",Flood,2,140,0,0,0,0,0
1952,"Northern America",Earthquake,3,16,0,0,0,0,80900
1952,"Northern America",Storm,2,279,0,0,0,0,0
1953,"Northern America",Epidemic,1,481,8000,0,0,8000,0
1953,"Northern America",Storm,6,468,0,0,0,0,52000
1953,"South America",Earthquake,3,22,0,55,0,55,507310
1953,"South America",Flood,1,71,0,0,0,0,0
1954,Caribbean,Landslide,1,262,0,0,0,0,0
1954,Caribbean,Storm,2,410,250000,0,0,250000,0
1954,"Central America",Landslide,1,100,0,0,0,0,0
1954,"Northern America",Storm,4,306,0,0,0,0,831000
1954,"South America",Landslide,2,187,0,0,0,0,0
1955,Caribbean,Storm,4,179,0,0,0,0,0
1955,"Central America",Storm,3,816,0,0,0,0,45000
1955,"Northern America","Extreme temperature ",1,107,0,0,0,0,0
1955,"Northern America",Flood,1,74,0,0,0,0,0
1955,"Northern America","Mass movement (dry)",1,3,0,6,2000,2006,0
1955,"Northern America",Storm,4,365,0,0,0,0,832000
1956,Caribbean,Storm,1,0,0,0,0,0,0
1956,"Northern America",Storm,3,232,0,0,0,0,0
1956,"Northern America",Wildfire,1,11,0,0,0,0,0
1956,"South America",Landslide,2,66,0,0,0,0,0
1957,"Central America",Earthquake,1,160,0,29,0,29,25000
1957,"Northern America",Storm,3,469,0,0,0,0,150000
1957,"South America",Flood,1,112,0,0,0,0,0
1958,"Northern America","Extreme temperature ",1,0,0,0,0,0,520000
1958,"Northern America",Storm,3,139,0,0,0,0,0
1958,"South America",Earthquake,2,28,0,35,0,35,10100
1958,"South America",Flood,1,360,0,0,0,0,0
1959,Caribbean,Flood,1,50,0,0,0,0,0
1959,"Central America",Earthquake,1,28,0,0,0,0,0
1959,"Central America",Flood,1,2000,0,0,0,0,0
1959,"Central America",Storm,1,960,0,0,0,0,20000
1959,"Northern America",Earthquake,1,28,0,0,0,0,26000
1959,"Northern America",Storm,2,77,0,0,0,0,0
1959,"South America",Flood,2,284,0,0,0,0,0
1959,"South America",Storm,1,59,0,0,0,0,0
1960,Caribbean,Storm,6,7,0,250,1000,1250,35000
1960,"Central America",Flood,1,325,0,0,0,0,0
1960,"Northern America",Earthquake,1,61,0,0,0,0,0
1960,"Northern America",Storm,1,50,0,0,0,0,387000
1960,"South America",Earthquake,3,6627,2000000,3000,0,2003000,550000
1961,"Central America",Storm,3,986,0,0,0,0,60000
1961,"Northern America",Drought,1,0,0,0,0,0,0
1961,"Northern America",Storm,2,146,0,0,0,0,408000
1962,Caribbean,Flood,1,26,0,0,0,0,0
1962,"Central America","Extreme temperature ",1,50,0,0,0,0,0
1962,"Northern America",Storm,4,191,0,0,0,0,350000
1962,"South America",Earthquake,1,112,0,0,0,0,0
1962,"South America",Flood,1,135,0,0,0,0,0
1962,"South America",Landslide,2,71,0,0,0,0,0
1962,"South America","Mass movement (dry)",1,2000,0,0,0,0,200000
1962,"South America",Storm,1,60,0,0,0,0,0
1963,Caribbean,Epidemic,1,0,2724,0,0,2724,0
1963,Caribbean,Flood,1,500,0,0,0,0,0
1963,Caribbean,Storm,10,7211,0,0,0,0,829090
1963,"Central America","Volcanic activity",1,15,5000,200,0,5200,0
1963,"Northern America","Extreme temperature ",1,150,0,0,0,0,0
1963,"Northern America",Storm,2,229,0,0,0,0,0
1963,"South America",Drought,1,0,13400,0,0,13400,0
1963,"South America",Earthquake,1,280,0,460,0,460,235000
1964,Caribbean,Storm,4,121,90000,100,0,90100,11000
1964,"Central America",Earthquake,1,45,4000,0,0,4000,3000
1964,"Central America",Epidemic,1,0,1200,0,0,1200,0
1964,"Central America",Storm,1,1,500,18,0,518,300
1964,"Northern America",Earthquake,1,131,0,0,0,0,1020000
1964,"Northern America",Flood,2,109,0,0,0,0,820000
1964,"Northern America",Storm,3,183,0,0,0,0,250000
1964,"South America",Drought,1,0,600000,0,0,600000,0
1964,"South America",Flood,3,100,120000,0,0,120000,500
1964,"South America","Volcanic activity",1,4,2000,0,0,2000,0
1965,Caribbean,Storm,1,0,1200,0,0,1200,700
1965,Caribbean,Wildfire,1,0,0,0,0,0,1000
1965,"Central America",Drought,1,0,100000,0,0,100000,0
1965,"Central America",Earthquake,1,125,90582,1138,48000,139720,35000
1965,"Central America",Epidemic,1,7,170,0,0,170,0
1965,"Central America",Flood,2,27,6000,0,0,6000,8500
1965,"Northern America",Earthquake,1,7,0,0,0,0,28000
1965,"Northern America","Mass movement (dry)",1,26,0,22,0,22,0
1965,"Northern America",Storm,2,570,0,1000,0,1000,1610000
1965,"South America",Earthquake,1,400,20000,350,0,20350,125000
1965,"South America",Flood,7,728,655500,0,65000,720500,33100
1965,"South America",Landslide,3,103,0,0,0,0,0
1965,"South America",Storm,1,58,0,0,0,0,0
1966,Caribbean,Storm,7,589,240000,1356,23500,264856,128500
1966,"Central America",Flood,1,20,1600,0,1000,2600,1000
1966,"Central America",Storm,1,14,80000,69,10000,90069,24000
1966,"Northern America","Extreme temperature ",2,262,0,0,0,0,0
1966,"Northern America",Storm,5,290,0,0,0,0,100000
1966,"South America",Drought,1,0,156000,0,0,156000,0
1966,"South America",Earthquake,2,124,60600,1506,49256,111362,15400
1966,"South America",Flood,7,636,308371,1757,31500,341628,92532
1966,"South America",Landslide,2,400,4000000,0,0,4000000,27
1966,"South America",Storm,1,36,0,0,0,0,0
1967,Caribbean,Storm,3,17,1000,0,0,1000,7500
1967,"Central America",Epidemic,1,53,444,0,0,444,0
1967,"Central America",Flood,1,0,8345,0,0,8345,500
1967,"Central America",Storm,2,111,271000,0,0,271000,184000
1967,"Northern America",Storm,5,275,0,0,0,0,200000
1967,"South America",Earthquake,2,301,120000,1736,0,121736,50600
1967,"South America",Epidemic,1,36,528,0,0,528,0
1967,"South America",Flood,9,909,435899,1707,95800,533406,76526
1967,"South America",Landslide,1,436,0,0,0,0,0
1968,Caribbean,Drought,3,0,550217,0,0,550217,6500
1968,Caribbean,Storm,1,0,0,0,0,0,0
1968,"Central America",Earthquake,2,15,2000,500,0,2500,2000
1968,"Central America","Extreme temperature ",1,40,0,0,0,0,0
1968,"Central America",Flood,1,0,1300,0,260,1560,1500
1968,"Central America","Volcanic activity",1,87,12391,0,3280,15671,5000
1968,"Northern America",Storm,3,159,458,0,0,458,8000
1968,"South America",Drought,1,0,120000,0,0,120000,55000
1968,"South America",Earthquake,1,11,300,120,0,420,100
1968,"South America","Extreme temperature ",1,113,0,0,0,0,0
1968,"South America",Flood,1,24,20000,200,6000,26200,3000
1968,"South America",Storm,2,0,1020,0,63,1083,50
1969,"Central America",Epidemic,4,16,27,0,0,27,7
1969,"Central America",Flood,1,7,4580,23,0,4603,4000
1969,"Central America",Landslide,1,18,0,0,0,0,0
1969,"Central America",Storm,4,329,22800,42,0,22842,35600
1969,"Northern America",Flood,1,115,0,0,0,0,400000
1969,"Northern America",Storm,6,715,0,0,0,0,1420000
1969,"South America",Drought,1,0,128604,0,0,128604,10000
1969,"South America",Earthquake,1,150,3000,216,0,3216,5000
1969,"South America",Epidemic,3,418,40077,0,0,40077,0
1969,"South America",Flood,3,316,92300,3221,17384,112905,6320
1970,Caribbean,Flood,2,63,200,10,0,210,500
1970,Caribbean,Storm,4,65,5000,0,0,5000,31000
1970,"Central America",Flood,5,107,59045,540,0,59585,45000
1970,"Northern America",Storm,3,47,0,0,0,0,597000
1970,"Northern America",Wildfire,1,0,0,0,0,0,100000
1970,"South America",Drought,1,0,10000000,0,0,10000000,100
1970,"South America",Earthquake,5,67282,3150909,143709,27992,3322610,536400
1970,"South America",Flood,8,638,5389971,50,110000,5500021,215570
1971,Caribbean,"Volcanic activity",1,0,2000,0,0,2000,0
1971,"Central America",Storm,3,52,2800,50,1800,4650,380
1971,"Central America","Volcanic activity",1,0,3000,0,600,3600,2000
1971,"Northern America",Earthquake,1,65,0,1000,0,1000,535000
1971,"Northern America","Mass movement (dry)",1,31,0,0,1500,1500,0
1971,"Northern America",Storm,3,158,0,0,0,0,0
1971,"South America",Earthquake,1,85,2348522,451,0,2348973,236400
1971,"South America",Epidemic,1,1,0,0,0,0,0
1971,"South America",Flood,8,540,391400,2000,0,393400,6100
1971,"South America",Landslide,3,820,6,0,0,6,0
1971,"South America",Storm,1,0,90000,0,0,90000,2500
1972,Caribbean,Flood,1,78,40000,0,0,40000,959
1972,"Central America",Drought,1,0,300000,0,0,300000,7000
1972,"Central America",Earthquake,1,10000,400000,20000,300000,720000,845000
1972,"Central America",Flood,2,37,100300,70,0,100370,50
1972,"Northern America","Extreme temperature ",1,10,0,0,0,0,0
1972,"Northern America",Flood,1,237,3000,0,0,3000,120000
1972,"Northern America",Landslide,1,400,0,0,0,0,0
1972,"Northern America",Storm,2,256,0,0,0,0,2100000
1972,"South America",Earthquake,1,12,1500000,0,75000,1575000,20000
1972,"South America","Extreme temperature ",1,100,0,0,0,0,0
1972,"South America",Landslide,1,70,0,0,0,0,0
1973,Caribbean,Storm,1,6,2500,10,0,2510,1700
1973,"Central America",Drought,1,0,0,0,0,0,0
1973,"Central America",Earthquake,3,538,3563,98,84,3745,200
1973,"Central America",Flood,4,142,155000,27,0,155027,102500
1973,"Central America",Landslide,1,2800,0,0,0,0,0
1973,"Northern America","Extreme temperature ",1,22,0,0,0,0,0
1973,"Northern America",Flood,2,56,0,0,0,0,500000
1973,"Northern America",Storm,2,50,246,0,0,246,50000
1973,"South America",Flood,3,29,5000,172,30000,35172,16000
1973,"South America",Landslide,4,741,0,0,0,0,0
1973,"South America",Storm,1,60,0,300,0,300,0
1974,Caribbean,Drought,1,0,507000,0,0,507000,0
1974,Caribbean,Storm,1,2,50000,0,0,50000,5000
1974,"Central America",Storm,3,8013,670000,0,0,670000,544000
1974,"Northern America",Flood,2,0,0,0,0,0,89500
1974,"Northern America",Storm,2,352,0,0,0,0,1000000
1974,"South America",Earthquake,1,78,41260,2414,0,43674,10000
1974,"South America",Epidemic,1,1500,30000,0,0,30000,0
1974,"South America",Flood,3,268,383000,0,0,383000,141500
1974,"South America",Landslide,5,821,12000,1000,1500,14500,21700
1974,"South America",Storm,1,100,100000,0,0,100000,0
1975,Caribbean,Flood,1,0,0,0,0,0,4700
1975,Caribbean,Storm,1,26,0,0,0,0,0
1975,"Central America",Storm,1,29,0,0,0,0,0
1975,"Central America","Volcanic activity",1,2,0,0,0,0,0
1975,"Northern America",Storm,6,116,200,40,300,540,552500
1975,"South America",Epidemic,1,0,107,0,0,107,0
1975,"South America","Extreme temperature ",2,126,0,600,0,600,600000
1975,"South America",Flood,1,118,748000,0,80000,828000,254900
1975,"South America",Storm,1,20,0,0,0,0,0
1975,"South America","Volcanic activity",2,0,0,0,0,0,0
1976,Caribbean,Earthquake,1,1,0,8,0,8,0
1976,Caribbean,"Volcanic activity",1,0,75000,3,0,75003,0
1976,"Central America",Earthquake,1,23000,3750000,77000,1166000,4993000,1000000
1976,"Central America",Flood,2,36,23000,0,0,23000,0
1976,"Central America",Storm,2,720,475000,1400,100000,576400,100000
1976,"Central America","Volcanic activity",1,0,70000,0,0,70000,0
1976,"Central America",Wildfire,1,0,0,0,0,0,0
1976,"Northern America",Flood,2,139,0,0,0,0,61000
1976,"South America",Earthquake,2,20,0,0,20000,20000,4000
1976,"South America",Flood,1,47,0,0,0,0,0
1976,"South America",Landslide,2,73,0,16,0,16,0
1976,"South America","Volcanic activity",1,1,20000,0,5000,25000,0
1977,Caribbean,Drought,1,0,450000,0,0,450000,0
1977,Caribbean,Epidemic,1,0,0,0,0,0,0
1977,Caribbean,Flood,2,7,18000,0,0,18000,0
1977,"Central America",Storm,1,10,50000,0,0,50000,0
1977,"Northern America",Drought,1,0,0,0,0,0,3000000
1977,"Northern America","Extreme temperature ",1,0,0,0,0,0,2800000
1977,"Northern America",Flood,3,140,2700,0,0,2700,200000
1977,"Northern America",Storm,3,91,0,0,0,0,0
1977,"South America",Drought,2,0,0,0,0,0,0
1977,"South America",Earthquake,1,70,0,100,40000,40100,80000
1977,"South America",Epidemic,2,26,300,0,0,300,0
1977,"South America",Flood,7,93,154140,0,70300,224440,11000
1977,"South America",Landslide,1,0,0,0,100,100,0
1977,"South America",Storm,2,25,0,100,16800,16900,6800
1978,Caribbean,Epidemic,1,0,0,0,0,0,0
1978,Caribbean,Storm,1,6,100,70,0,170,0
1978,"Central America",Drought,1,0,0,0,0,0,0
1978,"Central America",Earthquake,1,9,3750,100,0,3850,0
1978,"Central America",Flood,2,25,9000,0,0,9000,24300
1978,"Central America",Storm,2,5,6000,0,7500,13500,7000
1978,"Northern America",Flood,1,27,0,0,0,0,0
1978,"Northern America",Storm,4,215,0,0,0,0,100000
1978,"South America",Drought,1,0,0,0,0,0,2300000
1978,"South America",Flood,6,72,188600,0,20000,208600,2000
1978,"South America",Storm,1,5,0,100,0,100,0
1979,Caribbean,Flood,3,76,201000,0,50000,251000,0
1979,Caribbean,Storm,7,1451,1295610,6103,350000,1651713,344650
1979,Caribbean,"Volcanic activity",1,2,20000,0,0,20000,0
1979,"Central America",Earthquake,2,5,9500,75,0,9575,30000
1979,"Central America",Flood,4,1,147000,0,0,147000,13000
1979,"Northern America",Flood,1,0,0,0,0,0,19000
1979,"Northern America",Storm,4,186,2000,160,0,2160,2863000
1979,"South America",Drought,1,0,5000000,0,0,5000000,0
1979,"South America",Earthquake,3,652,10000,2642,100,12742,28000
1979,"South America",Flood,4,362,1740000,0,72000,1812000,0
1979,"South America",Landslide,1,30,0,0,0,0,0
1980,Caribbean,Drought,1,0,103000,0,0,103000,0
1980,Caribbean,Storm,11,263,450000,16,850500,1300516,690090
1980,"Central America",Earthquake,3,69,6000,360,0,6360,0
